[ 2026-05-25 15:10:36,207 ] 20 root - INFO - Initiate the data ingestion
[ 2026-05-25 15:10:40,398 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-05-25 15:10:40,399 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-25 15:10:40,401 ] 75 root - INFO - Exporting train and test file path.
[ 2026-05-25 15:10:40,514 ] 84 root - INFO - Exported train and test file path.
[ 2026-05-25 15:10:40,515 ] 22 root - INFO - Data Initiation Completed
[ 2026-05-25 15:10:40,662 ] 26 root - INFO - Initiate the data Validation
[ 2026-05-25 15:10:40,814 ] 32 root - INFO - Required number of columns:2
[ 2026-05-25 15:10:40,815 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-25 15:10:40,815 ] 32 root - INFO - Required number of columns:2
[ 2026-05-25 15:10:40,815 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-25 15:10:41,154 ] 28 root - INFO - data Validation Completed
[ 2026-05-25 15:10:41,154 ] 31 root - INFO - data Transformation started
[ 2026-05-25 15:10:41,155 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-25 15:10:41,155 ] 65 root - INFO - Starting data transformation
[ 2026-05-25 15:10:41,213 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-25 15:10:41,213 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-25 15:10:41,242 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-25 15:10:41,251 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-25 15:10:41,252 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-25 15:10:41,257 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-25 15:10:41,259 ] 35 root - INFO - data Transformation completed
[ 2026-05-25 15:10:41,259 ] 37 root - INFO - Model Training sstared
